学号,性别,年龄,绩点,出勤1,出勤2,出勤3,出勤4,出勤5,出勤6,出勤7,出勤8,出勤9,出勤10,出勤11,出勤12,出勤13,出勤14,出勤15,出勤16,出勤17,出勤18,出勤19,出勤20
032002547,男,20,0.5714166505522789,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002411,男,23,1.2684038487851532,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002236,女,23,1.4144416542021265,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
032002925,女,21,1.4191409854214772,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002564,男,21,1.697060159909521,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
032002136,女,22,1.770012439606322,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
032002910,女,23,1.8014954803745677,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
032002144,女,22,1.8111193525809868,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002621,女,22,1.8223109741200338,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
032002967,男,23,1.8618105815201762,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
032002938,男,21,1.8818406807568075,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002246,男,23,1.9337872432131704,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
032002339,男,22,1.9485795926052725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002989,男,20,1.956412370642664,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002890,男,22,1.986861831701109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002513,女,21,1.9941533585175064,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002765,男,22,2.0949038114542464,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002908,男,23,2.1083139288133763,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
032002516,男,21,2.136000852305315,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002474,女,20,2.1534133907506003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002498,男,22,2.17692578282984,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002823,男,21,2.1897827345043948,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002674,男,23,2.2091647214059633,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002148,女,21,2.2688736852212203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002494,男,21,2.273569644654369,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002787,男,20,2.309092327205921,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
032002278,女,20,2.3269426295649076,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
032002755,男,21,2.3348900548297875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002706,男,23,2.3420301884033354,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002435,女,22,2.3556418337466303,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
032002600,男,20,2.3713885714438887,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002826,女,21,2.3737955381991305,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002803,女,23,2.3892336598100132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
032002189,男,22,2.412876412925751,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002227,男,20,2.483135300552967,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
032002800,女,21,2.503451540734046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002423,男,22,2.5208223487777643,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002550,女,20,2.550157775048063,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
032002609,女,22,2.560447110273567,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
032002562,男,23,2.641490705474999,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
032002389,男,22,2.6541605170360048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002901,男,23,2.6678132804323744,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002205,男,23,2.7028902108140196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002874,男,22,2.749201769618716,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
032002962,男,20,2.751625943210052,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002770,男,20,2.757000199644171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002244,女,23,2.7795249638094686,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002333,男,22,2.7816402779145366,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002551,女,22,2.813700692900368,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
032002221,男,22,2.8270327161013746,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002380,女,20,2.8467118888333482,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002307,女,20,2.8492085201174477,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002327,男,22,2.859416967680071,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002867,女,20,2.9234505623312157,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
032002130,女,21,2.9405126901142253,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002881,女,21,2.9510889540300616,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
032002330,女,23,2.9601447478231746,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002138,女,20,2.9824199993510305,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002331,男,20,2.992064670179253,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002181,女,21,3.003071354865459,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002413,女,21,3.0595076958687915,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002336,男,21,3.067147618127412,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002933,男,21,3.116576539262768,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002640,男,20,3.1208051099511445,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
032002966,女,21,3.12262278016875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002176,男,23,3.1261603672743683,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002295,男,22,3.1305755030621607,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002830,女,23,3.150626778283353,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002552,女,21,3.1510818050245923,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002419,女,20,3.177262665514246,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
032002122,男,23,3.1974463216323605,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
032002470,女,21,3.2143960540416074,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002963,女,20,3.235340427828335,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
032002905,女,22,3.2829466639189855,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002586,女,22,3.2883239837577696,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002203,女,23,3.310966125756014,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002325,女,20,3.4591993509582757,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002687,女,21,3.478975022705296,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002280,女,20,3.4995922861307327,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002180,男,21,3.5308049113967925,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
